Year,Mean,Standard Deviation
2000,0.147,0.105
2001,0.164,0.136
2002,0.162,0.115
2003,0.164,0.129
2004,0.169,0.118
2005,0.179,0.166
2006,0.185,0.135
2007,0.173,0.128
2008,0.175,0.133
2009,0.184,0.153
2010,0.185,0.150
2011,0.193,0.147
2012,0.186,0.135
2013,0.156,0.112
2014,0.168,0.128
2015,0.175,0.133
2016,0.173,0.136
2017,0.141,0.069
2018,0.159,0.111
2019,0.152,0.105
2020,0.189,0.143
2021,0.170,0.115
