Year,Mean,Standard Deviation
2000,0.747,0.152
2001,0.684,0.165
2002,0.725,0.144
2003,0.692,0.164
2004,0.689,0.169
2005,0.681,0.167
2006,0.701,0.156
2007,0.725,0.162
2008,0.724,0.148
2009,0.751,0.126
2010,0.750,0.148
2011,0.756,0.141
2012,0.721,0.184
2013,0.699,0.176
2014,0.685,0.172
2015,0.669,0.166
2016,0.639,0.171
2017,0.629,0.142
2018,0.647,0.145
2019,0.600,0.159
2020,0.618,0.141
2021,0.612,0.151
