Year,Mean,Standard Deviation
2000,0.123,0.143
2001,0.144,0.182
2002,0.142,0.175
2003,0.183,0.202
2004,0.167,0.213
2005,0.108,0.163
2006,0.111,0.160
2007,0.138,0.165
2008,0.124,0.169
2009,0.094,0.142
2010,0.108,0.175
2011,0.114,0.186
2012,0.128,0.215
2013,0.148,0.233
2014,0.147,0.197
2015,0.184,0.229
2016,0.168,0.214
2017,0.161,0.164
2018,0.153,0.162
2019,0.234,0.229
2020,0.228,0.238
2021,0.241,0.236
