Year,Mean,Standard Deviation
2000,117.643,25.126
2001,116.036,30.812
2002,117.826,29.288
2003,117.796,34.385
2004,117.952,30.900
2005,111.751,25.762
2006,118.782,29.497
2007,122.475,26.711
2008,126.608,25.479
2009,126.305,25.279
2010,119.494,22.906
2011,125.385,22.979
2012,124.060,21.947
2013,116.423,24.395
2014,116.520,22.986
2015,121.616,28.162
2016,119.278,28.141
2017,119.358,27.639
2018,118.428,29.733
2019,115.423,27.716
2020,119.328,25.622
2021,119.396,29.439
