Year,Mean,Standard Deviation
2000,242683.351,41126.229
2001,248720.408,37566.332
2002,246983.970,43536.886
2003,246221.276,42686.188
2004,244788.663,42712.325
2005,237342.958,33711.855
2006,239733.619,37311.587
2007,241158.408,45290.205
2008,230617.470,33865.453
2009,236559.430,37369.488
2010,228155.680,34330.151
2011,237315.949,37463.987
2012,227793.091,32403.455
2013,232242.531,46369.698
2014,233700.840,58386.925
2015,218115.830,30416.573
2016,219383.840,28014.090
2017,221947.880,34383.451
2018,208012.384,33644.096
2019,193414.929,34745.395
2020,194923.180,25548.935
2021,187067.776,30988.331
