Year,Mean,Standard Deviation
2000,0.073,0.068
2001,0.107,0.102
2002,0.109,0.092
2003,0.132,0.113
2004,0.122,0.108
2005,0.125,0.106
2006,0.134,0.121
2007,0.109,0.117
2008,0.073,0.069
2009,0.080,0.082
2010,0.102,0.104
2011,0.094,0.089
2012,0.081,0.086
2013,0.077,0.077
2014,0.070,0.056
2015,0.074,0.058
2016,0.114,0.100
2017,0.104,0.095
2018,0.121,0.111
2019,0.124,0.115
2020,0.120,0.108
2021,0.108,0.108
