Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
83,Wiz Khalifa,Hip-Hop,"8,213,573,291","6,474,435,820",428,1,19,106,298,10.04.22,70%,25%,4%,0%
84,Sech,Latin R&B,"8,168,068,001","2,612,226,125",117,0,22,67,103,04.03.22,88%,57%,19%,0%
85,Mac Miller,Hip-Hop B&B,"8,146,491,606","634,206,678",207,0,17,125,192,11.04.22,93%,60%,8%,0%
86,Pop Smoke,Hip-Hop,"8,114,250,149","823,582,153",98,0,18,79,97,03.04.22,99%,81%,18%,0%
87,21 Savage,Hip-Hop,"8,013,038,173","5,102,666,826",155,0,20,83,125,28.02.22,81%,54%,13%,0%
88,Myke Towers,Latin Raggaeton,"7,957,142,534","4,313,459,699",161,0,24,93,150,01.04.22,93%,58%,15%,0%
89,Metallica,Heavy Metal,"7,936,686,126","5,306,788",814,0,13,105,276,11.04.22,34%,13%,2%,0%
90,Fall Out Boy,Pop Punk,"7,932,097,894","37,238,404",199,0,16,96,164,03.04.22,82%,48%,8%,0%
91,Diplo,Electronic dance,"7,903,388,758","1,678,969,819",370,0,23,86,203,24.03.22,55%,23%,6%,0%
92,Lil Peep,Emo Rap,"7,807,725,799","302,180,931",101,0,21,87,101,09.04.22,100%,86%,21%,0%
93,Migos,Hip-Hop,"7,798,723,581","3,218,601,733",281,0,16,83,186,24.03.22,66%,30%,6%,0%
94,Logic,Hip-Hop,"7,792,057,406","1,797,939,190",163,1,14,121,161,28.03.22,99%,74%,9%,1%
95,Lil Nas X,Pop,"7,710,176,745",0,33,3,11,30,32,02.04.22,97%,91%,33%,9%
96,Tyga,Hip-Hop,"7,707,589,449","3,949,796,361",297,1,19,99,253,28.03.22,85%,33%,6%,0%
97,P!nk,Pop,"7,705,620,044","558,938,547",234,0,21,82,161,10.04.22,69%,35%,9%,0%
98,John Mayer,Rock,"7,690,841,443","478,302,900",197,0,18,117,173,28.03.22,88%,59%,9%,0%
99,Alan Walker,Electro Pop,"7,686,431,970","1,720,072,338",151,1,16,64,121,25.03.22,80%,42%,11%,1%
100,Little Mix,,"7,515,765,784","10,375,540",210,0,19,101,157,03.04.22,75%,48%,9%,0%
101,DJ Snake,,"7,511,968,595","1,885,966,456",143,2,11,51,100,21.03.22,70%,36%,8%,1%
102,ZAYN,,"7,511,901,161","231,225,044",85,3,15,67,84,11.04.22,99%,79%,18%,4%
103,AC/DC,,"7,506,515,129",0,312,0,10,78,240,10.04.22,77%,25%,3%,0%
104,Lauv,,"7,442,990,467","134,651,401",97,1,21,62,90,08.04.22,93%,64%,22%,1%
105,James Arthur,,"7,426,406,129","68,395,640",141,1,13,59,123,24.03.22,87%,42%,9%,1%
106,Trippie Redd,,"7,415,351,877","2,814,781,361",194,0,21,124,177,03.04.22,91%,64%,11%,0%
107,Macklemore,,"7,396,989,553","80,667,258",101,1,13,60,94,28.02.22,93%,59%,13%,1%
108,Olivia Rodrigo,,"7,340,845,148","1,608,264",37,2,12,23,34,11.04.22,92%,62%,32%,5%
109,Zedd,,"7,260,452,941","877,051,404",138,3,13,38,96,24.03.22,70%,28%,9%,2%
110,Kodak Black,,"7,247,769,239","1,665,337,621",232,0,16,85,216,10.04.22,93%,37%,7%,0%
111,A$AP Rocky,,"7,169,188,253","4,858,423,889",97,0,16,70,91,07.04.22,94%,72%,16%,0%
112,Gunna,,"7,163,559,570","4,191,849,661",177,0,13,105,165,03.04.22,93%,59%,7%,0%
