Position,Artist,Genre,Lead Streams,Featured streams,Tracks,1b,100m,10m,1m,Update,% Songs Streamed 1Million Times,% Songs Streamed 10Million Times,% Songs Streamed 100Million Times,% Songs Streamed 1Billion Times
266,Alok,,"4,104,472,257","220,199,654",195,0,12,63,121,21.02.22,62%,32%,6%,0%
267,Lenny Tavárez,,"4,081,327,351","3,477,276,520",93,0,9,47,85,14.03.22,91%,51%,10%,0%
268,Kevin Gates,,"4,066,585,990","658,700,819",293,0,6,106,216,15.03.22,74%,36%,2%,0%
269,Kehlani,,"4,061,666,101","1,916,002,618",111,0,10,74,99,22.03.22,89%,67%,9%,0%
270,Rammstein,,"4,054,152,318","3,560,083",231,0,10,76,171,12.03.22,74%,33%,4%,0%
271,Avril Lavigne,,"4,044,257,340","22,253,510",147,0,11,59,115,24.03.22,78%,40%,7%,0%
272,Niall Horan,,"4,027,382,321","432,614,519",70,0,11,38,65,10.04.22,93%,54%,16%,0%
273,Macklemore & Ryan Lewis,,"4,022,288,754",0,48,1,6,29,48,15.03.22,100%,60%,13%,2%
274,Jack Harlow,,"4,020,079,266","242,389,591",83,1,7,36,79,10.04.22,95%,43%,8%,1%
275,Jonas Brothers,,"4,008,239,293","479,458,782",95,1,9,37,88,10.03.22,93%,39%,9%,1%
276,My Chemical Romance,,"4,003,887,551",0,134,0,10,53,116,19.02.22,87%,40%,7%,0%
277,Arcangel,,"3,992,087,813","4,560,194,472",238,0,8,54,190,04.03.22,80%,23%,3%,0%
278,Kane Brown,,"3,988,923,813","25,296,252",95,0,9,53,86,13.02.22,91%,56%,9%,0%
279,Bryson Tiller,,"3,969,069,576","1,961,089,305",68,0,7,50,66,08.03.22,97%,74%,10%,0%
280,Capital Bra,,"3,962,800,255","552,397,439",257,0,7,84,188,22.03.22,73%,33%,3%,0%
281,Lil Pump,,"3,959,622,575","479,747,828",69,0,10,38,54,15.03.22,78%,55%,14%,0%
282,Bring Me The Horizon,,"3,956,689,223","2,955,562",139,0,11,65,133,08.04.22,96%,47%,8%,0%
283,Alejandro Fernández,,"3,952,068,045","309,180,885",313,0,9,70,235,09.04.22,75%,22%,3%,0%
284,Kelly Clarkson,,"3,950,359,627","216,498,878",322,0,8,41,143,08.04.22,44%,13%,2%,0%
285,Wisin,,"3,918,901,607","4,941,792,286",115,0,10,40,96,17.03.22,83%,35%,9%,0%
286,Vance Joy,,"3,912,369,230",0,74,1,7,36,59,26.03.22,80%,49%,9%,1%
287,Ryan Lewis,,"3,896,682,000","42,960,372",33,1,6,28,32,15.03.22,97%,85%,18%,3%
288,Thomas Rhett,,"3,883,703,770","96,524,246",109,0,14,53,100,10.04.22,92%,49%,13%,0%
289,Johnny Cash,,"3,868,696,126","147,659,166",1.591,0,7,60,256,21.03.22,16091%,3771%,440%,0%
290,NAV,,"3,864,890,544","1,916,197,264",113,0,10,70,113,10.04.22,100%,62%,9%,0%
291,Jennifer Lopez,,"3,846,493,269","1,022,591,886",236,0,10,49,127,10.04.22,54%,21%,4%,0%
292,James Bay,,"3,840,880,987","4,096,808",78,0,9,40,67,25.03.22,86%,51%,12%,0%
293,Lil Tjay,,"3,833,725,578","1,740,661,969",64,0,10,51,64,03.04.22,100%,80%,16%,0%
294,YG,,"3,807,380,178","2,392,087,229",197,0,8,70,134,01.03.22,68%,36%,4%,0%
295,YNW Melly,,"3,785,606,447","339,301,648",82,0,9,34,79,08.04.22,96%,41%,11%,0%
296,Amy Winehouse,,"3,784,601,812","237,622,443",159,0,7,52,92,29.03.22,58%,33%,4%,0%
297,Stevie Wonder,,"3,781,370,780","269,119,367",603,0,9,47,153,16.02.22,25%,8%,1%,0%
298,Pearl Jam,,"3,779,149,589","1,609,889",1.69,0,9,54,240,15.03.22,14201%,3195%,533%,0%
299,Duki,,"3,765,968,579","822,447,264",138,0,10,60,126,03.04.22,91%,43%,7%,0%
300,Lil Tecca,,"3,756,285,404","269,171,750",74,0,8,41,74,03.04.22,100%,55%,11%,0%
301,Disturbed,,"3,751,691,983",0,170,0,6,68,145,09.02.22,85%,40%,4%,0%
302,Hans Zimmer,,"3,749,609,183","27,020,966",1.492,0,3,78,518,15.03.22,34718%,5228%,201%,0%
303,Aerosmith,,"3,745,227,775",0,284,0,8,31,152,17.02.22,54%,11%,3%,0%
304,Glass Animals,,"3,737,375,994","3,915,552",97,1,5,44,77,11.04.22,79%,45%,5%,1%
305,Lil Skies,,"3,732,360,925","748,067,580",58,0,9,46,57,10.04.22,98%,79%,16%,0%
306,Dr. Dre,,"3,728,870,632","2,028,152,932",91,0,8,30,85,10.03.22,93%,33%,9%,0%
307,Flume,,"3,722,679,455","62,719,484",128,0,8,54,118,25.03.22,92%,42%,6%,0%
308,Miguel,,"3,707,744,077","2,134,371,760",139,0,8,49,112,30.03.22,81%,35%,6%,0%
309,Tones And I,,"3,697,594,279","3,959,517",30,1,5,15,24,09.04.22,80%,50%,17%,3%
310,Nio Garcia,,"3,653,940,107","130,432,338",121,0,7,30,94,23.03.22,78%,25%,6%,0%
311,Backstreet Boys,,"3,652,908,638","183,394,836",134,0,8,39,124,10.04.22,93%,29%,6%,0%
312,Wisin & Yandel,,"3,638,651,571","1,018,983,101",289,0,10,47,137,21.03.22,47%,16%,3%,0%
313,Maná,,"3,638,463,998","48,077,310",220,0,10,51,149,01.03.22,68%,23%,5%,0%
314,Kesha,,"3,629,467,638","1,810,626,925",139,0,9,39,104,10.04.22,75%,28%,6%,0%
315,Phil Collins,,"3,552,999,942","114,571,424",337,0,9,38,151,09.04.22,45%,11%,3%,0%
316,Akon,,"3,538,482,630","3,202,621,129",206,0,9,34,111,10.04.22,54%,17%,4%,0%
317,Jason Aldean,,"3,527,119,305","140,753,012",156,0,8,62,145,28.03.22,93%,40%,5%,0%
318,Three Days Grace,,"3,482,156,443",683,87,0,8,59,84,10.04.22,97%,68%,9%,0%
319,Jeremih,,"3,476,869,433","3,113,656,502",139,0,8,34,92,15.03.22,66%,24%,6%,0%
320,Matheus & Kauan,,"3,466,311,609","589,565,820",163,0,8,74,152,08.03.22,93%,45%,5%,0%
321,Eagles,,"3,462,448,327",0,192,1,5,38,115,24.03.22,60%,20%,3%,1%
322,Dan + Shay,,"3,451,481,240","23,323,384",72,0,9,41,67,15.03.22,93%,57%,13%,0%
323,Yandel,,"3,438,503,187","2,193,497,804",173,0,8,52,141,11.01.22,82%,30%,5%,0%
324,24kGoldn,,"3,435,666,563","149,080,986",58,1,7,21,53,03.04.22,91%,36%,12%,2%
325,Avenged Sevenfold,,"3,425,797,988","2,962,919",163,0,9,64,136,30.03.22,83%,39%,6%,0%
326,Billy Joel,,"3,423,083,488","8,315,314",413,0,9,38,142,16.02.22,34%,9%,2%,0%
327,The Strokes,,"3,420,301,721","2,441,088",82,0,6,65,73,08.04.22,89%,79%,7%,0%
328,The Offspring,,"3,413,454,637",0,158,0,7,46,128,25.03.22,81%,29%,4%,0%
329,Wesley Safadão,,"3,397,230,098","563,697,075",279,0,5,59,254,07.03.22,91%,21%,2%,0%
330,Steve Aoki,,"3,394,815,739","1,437,847,167",412,0,6,64,215,19.03.22,52%,16%,1%,0%
331,Prince Royce,,"3,376,926,461","1,308,005,802",124,0,9,54,113,29.01.22,91%,44%,7%,0%
332,George Ezra,,"3,373,420,855",36,62,0,7,35,53,17.03.22,85%,56%,11%,0%
333,Jul,,"3,368,614,373","1,049,482,206",547,0,0,76,523,08.04.22,96%,14%,0%,0%
334,Lin-Manuel Miranda,,"3,357,127,015","204,907,472",94,0,12,39,75,02.03.22,80%,41%,13%,0%
335,Lil Mosey,,"3,348,210,594","464,721,415",47,1,5,34,47,21.03.22,100%,72%,11%,2%
336,Jessie J,,"3,348,178,219","60,774,261",117,1,6,33,97,10.04.22,83%,28%,5%,1%
337,Céline Dion,,"3,345,983,596","47,392,351",493,0,9,57,245,10.04.22,50%,12%,2%,0%
338,Ninho,,"3,341,951,465","1,411,862,147",149,0,4,104,130,09.04.22,87%,70%,3%,0%
339,benny blanco,,"3,337,797,101","14,573,101",20,1,6,12,19,15.03.22,95%,60%,30%,5%
340,Anderson .Paak,,"3,326,060,812","1,136,859,034",149,0,5,70,117,02.04.22,79%,47%,3%,0%
341,Aventura,,"3,311,972,637",273,133,0,10,41,107,24.01.22,80%,31%,8%,0%
342,2 Chainz,,"3,311,231,138","8,520,192,061",409,0,7,53,171,03.04.22,42%,13%,2%,0%
343,Alejandro Sanz,,"3,305,109,516","537,301,977",377,0,6,51,206,07.03.22,55%,14%,2%,0%
344,Ricardo Arjona,,"3,282,208,125","8,487,580",341,0,3,69,264,15.03.22,77%,20%,1%,0%
345,Calibre 50,,"3,278,282,846","82,028,793",227,0,7,71,168,01.03.22,74%,31%,3%,0%
346,Ricky Martin,,"3,277,273,361","413,110,710",268,0,8,49,135,09.04.22,50%,18%,3%,0%
347,H.E.R.,,"3,265,378,260","448,090,865",101,0,7,56,93,02.04.22,92%,55%,7%,0%
348,Lukas Graham,,"3,253,196,453","165,247,216",66,1,3,27,55,15.03.22,83%,41%,5%,2%
349,Lizzo,,"3,244,144,083","51,927,638",65,0,7,25,50,08.04.22,77%,38%,11%,0%
350,Trey Songz,,"3,233,181,980","1,364,945,269",269,0,7,57,184,09.04.22,68%,21%,3%,0%
351,CNCO,,"3,219,511,018","230,120,914",80,0,6,44,69,10.04.22,86%,55%,8%,0%
352,Cartel De Santa,,"3,216,731,726","211,822,080",136,0,7,61,126,06.03.22,93%,45%,5%,0%
353,Mark Ronson,,"3,216,017,652","1,156,162,195",150,1,4,24,81,27.02.22,54%,16%,3%,1%
354,Don Toliver,,"3,210,820,381","579,262,615",66,0,5,33,58,10.03.22,88%,50%,8%,0%
355,Passenger,,"3,207,979,391","1,910,286",217,1,2,44,180,17.02.22,83%,20%,1%,0%
356,Pentatonix,,"3,188,929,665","4,293,645",200,0,2,97,177,04.03.22,89%,49%,1%,0%
357,Foster The People,,"3,184,094,350","31,256,951",98,1,7,36,74,25.02.22,76%,37%,7%,1%
358,Train,,"3,177,452,504",46,172,0,8,20,84,25.02.22,49%,12%,5%,0%
359,Pablo Alborán,,"3,175,409,734","217,073,910",172,0,8,61,160,31.03.22,93%,35%,5%,0%
360,Marc Anthony,,"3,158,590,284","1,647,865,677",197,0,7,58,140,11.03.22,71%,29%,4%,0%
361,Arijit Singh,,"3,147,906,708","738,215,685",484,0,3,84,230,27.02.22,48%,17%,1%,0%
362,Daniel Caesar,,"3,114,399,368","1,168,367,943",38,0,7,35,36,05.03.22,95%,92%,18%,0%
363,Fetty Wap,,"3,105,020,211","1,590,944,007",138,0,7,35,86,15.03.22,62%,25%,5%,0%
364,Bob Dylan,,"3,093,919,809",214,1.227,0,6,42,304,09.03.22,24776%,3423%,489%,0%
365,Rex Orange County,,"3,091,147,000","327,262,384",57,0,7,35,55,07.04.22,96%,61%,12%,0%
366,Dire Straits,,"3,070,697,148",0,102,0,5,43,97,08.04.22,95%,42%,5%,0%
367,Bee Gees,,"3,048,970,940","57,639,921",445,0,5,35,108,09.04.22,24%,8%,1%,0%
368,James Blunt,,"3,047,515,159","18,114,638",170,0,6,43,107,25.02.22,63%,25%,4%,0%
369,Maiara & Maraisa,,"3,045,781,561","669,905,955",153,0,10,61,148,31.03.22,97%,40%,7%,0%
370,Bryan Adams,,"3,043,973,361","142,303,846",386,0,7,34,129,26.03.22,33%,9%,2%,0%
371,Lil Durk,,"3,037,042,966","2,627,058,035",319,0,2,61,232,03.04.22,73%,19%,1%,0%
372,Lost Frequencies,,"3,035,321,272","255,851,697",417,0,7,26,124,17.02.22,30%,6%,2%,0%
373,Quavo,,"3,032,997,222","9,543,931,963",80,0,7,43,66,03.04.22,83%,54%,9%,0%
374,R3HAB,,"3,021,016,637","1,262,702,976",301,0,4,64,203,16.02.22,67%,21%,1%,0%
375,Jeremy Zucker,,"3,018,495,077","142,295,256",96,0,7,37,86,08.04.22,90%,39%,7%,0%
376,Alec Benjamin,,"3,016,113,741","6,373,342",34,1,7,31,34,10.04.22,100%,91%,21%,3%
377,Boyce Avenue,,"3,013,798,499",176,438,0,2,70,345,04.03.22,79%,16%,0%,0%
378,ScHoolboy Q,,"3,009,909,162","1,577,235,787",88,0,8,48,84,25.03.22,95%,55%,9%,0%
379,Ski Mask The Slump God,,"3,003,127,128","1,060,149,934",71,0,7,43,70,01.04.22,99%,61%,10%,0%
380,John Williams,,"3,002,647,601","10,623,185",2.42,0,2,39,358,15.03.22,14793%,1612%,83%,0%
381,Måneskin,,"2,990,300,974","3,372,953",31,0,6,28,29,11.04.22,94%,90%,19%,0%
382,Outkast,,"2,968,851,170","107,773,025",225,0,5,26,127,15.03.22,56%,12%,2%,0%
383,Bizarrap,,"2,956,263,350","440,918,962",83,0,7,57,82,10.04.22,99%,69%,8%,0%
384,ROSALÍA,,"2,947,357,490","1,700,465,476",52,0,6,33,52,11.04.22,100%,63%,12%,0%
385,LANY,,"2,945,519,486","272,497,148",84,0,8,56,80,15.03.22,95%,67%,10%,0%
386,Sam Hunt,,"2,940,660,923","20,722,494",60,0,8,33,55,23.01.22,92%,55%,13%,0%
387,PARTYNEXTDOOR,,"2,939,827,455","1,775,279,725",80,0,8,48,79,05.02.22,99%,60%,10%,0%
388,Danny Ocean,,"2,935,339,872","186,131,163",57,1,6,24,42,01.04.22,74%,42%,11%,2%
389,Disney,,"2,929,593,793",712,356,0,9,29,182,25.02.22,51%,8%,3%,0%
390,Jhené Aiko,,"2,923,715,198","2,506,683,365",113,0,7,65,93,09.04.22,82%,58%,6%,0%
391,Cage The Elephant,,"2,922,215,689",0,107,0,5,42,83,28.03.22,78%,39%,5%,0%
392,Rels B,,"2,914,410,971","93,884,396",105,0,5,68,97,31.03.22,92%,65%,5%,0%
393,Offset,,"2,914,353,921","5,413,833,639",46,0,7,28,35,26.03.22,76%,61%,15%,0%
394,Charli XCX,,"2,907,444,303","1,314,001,967",197,0,8,45,130,02.03.22,66%,23%,4%,0%
395,Dean Lewis,,"2,903,655,994","1,712,279",40,1,6,25,36,21.02.22,90%,63%,15%,3%
396,Liam Payne,,"2,891,432,081","16,649,072",51,0,7,17,39,10.04.22,76%,33%,14%,0%
397,Hillsong Worship,,"2,886,291,597",0,847,0,3,72,322,28.03.22,38%,9%,0%,0%
398,Sigala,,"2,880,097,855","50,716,650",103,0,9,31,72,31.01.22,70%,30%,9%,0%
399,Conan Gray,,"2,879,943,163",0,26,0,6,26,26,11.04.22,100%,100%,23%,0%
400,ILLENIUM,,"2,871,199,116","151,241,879",206,0,4,56,148,16.03.22,72%,27%,2%,0%
401,Nelly,,"2,870,134,429","641,905,638",208,0,8,28,90,14.01.22,43%,13%,4%,0%
402,Summer Walker,,"2,869,130,145","877,961,145",87,0,7,56,74,29.03.22,85%,64%,8%,0%
403,The Vamps,,"2,864,306,647",0,147,0,8,36,115,31.03.22,78%,24%,5%,0%
404,alt-J,,"2,849,176,993","1,169,421",146,0,7,39,93,15.02.22,64%,27%,5%,0%
405,Rudimental,,"2,844,040,533","19,915,054",188,0,6,30,112,28.08.21,60%,16%,3%,0%
406,Blake Shelton,,"2,843,428,181","246,000,758",200,0,8,43,128,18.03.22,64%,22%,4%,0%
407,BROCKHAMPTON,,"2,840,585,690","1,043,877",112,0,4,67,109,25.02.22,97%,60%,4%,0%
408,Lil Yachty,,"2,839,598,250","4,748,532,522",178,0,6,52,151,22.03.22,85%,29%,3%,0%
409,Bibi Blocksberg,,"2,837,917,009",105,5.069,0,0,1,507,27.02.22,10002%,20%,0%,0%
410,Marvin Gaye,,"2,834,639,150","38,468,834",718,0,7,24,111,31.12.21,15%,3%,1%,0%
411,Mike Posner,,"2,830,127,088","282,151,382",179,1,4,20,69,03.04.22,39%,11%,2%,1%
412,The Police,,"2,817,744,034",80,123,1,5,18,84,24.02.22,68%,15%,4%,1%
413,Jax Jones,,"2,800,287,993","313,190,229",83,0,11,20,52,08.04.22,63%,24%,13%,0%
414,Iron Maiden,,"2,799,609,745",0,425,0,5,46,268,26.03.22,63%,11%,1%,0%
415,The Black Keys,,"2,797,692,996",0,189,0,5,53,136,25.03.22,72%,28%,3%,0%
416,Armin van Buuren,,"2,795,922,270","189,205,318",2.179,0,4,43,288,04.09.21,13217%,1973%,184%,0%
417,Zac Brown Band,,"2,790,718,796","10,921,224",141,0,6,46,108,27.12.21,77%,33%,4%,0%
418,Rise Against,,"2,779,404,268",3,180,0,4,51,166,29.03.22,92%,28%,2%,0%
419,Carlos Vives,,"2,778,295,879","205,270,008",266,0,6,36,144,07.01.22,54%,14%,2%,0%
420,Bon Iver,,"2,770,728,013","938,556,559",45,0,6,37,42,22.03.22,93%,82%,13%,0%
421,Juanes,,"2,754,729,408","1,863,681,229",201,0,7,34,116,28.03.22,58%,17%,3%,0%
422,A$AP Ferg,,"2,752,987,100","1,352,077,445",97,0,6,46,90,07.04.22,93%,47%,6%,0%
423,Skillet,,"2,746,916,180",0,195,0,7,46,113,05.02.22,58%,24%,4%,0%
424,Maren Morris,,"2,743,973,922","519,703,626",69,1,6,24,50,25.03.22,72%,35%,9%,1%
425,Birdy,,"2,742,086,678","85,459,177",106,0,7,38,90,11.04.22,85%,36%,7%,0%
426,Destiny's Child,,"2,741,533,523","17,218,122",186,0,8,19,86,18.03.22,46%,10%,4%,0%
427,Chris Stapleton,,"2,730,206,844","610,690,719",60,0,7,45,59,19.03.22,98%,75%,12%,0%
428,Soda Stereo,,"2,716,861,805",8,198,0,4,52,173,29.03.22,87%,26%,2%,0%
429,Tate McRae,,"2,712,453,216","4,156,480",42,0,6,30,40,10.04.22,95%,71%,14%,0%
430,Madison Beer,,"2,710,963,314","144,948,403",52,0,11,26,45,28.03.22,87%,50%,21%,0%
431,The Doors,,"2,710,207,896","29,087,815",715,0,7,45,139,18.03.22,19%,6%,1%,0%
432,JP Cooper,,"2,709,357,752","81,186,532",130,0,4,29,91,16.02.22,70%,22%,3%,0%
433,Papa Roach,,"2,706,532,270","43,162,358",236,0,4,42,150,10.04.22,64%,18%,2%,0%
434,Tim McGraw,,"2,705,527,493","59,202,906",284,0,5,54,130,06.02.22,46%,19%,2%,0%
435,Carly Rae Jepsen,,"2,701,503,833","62,128,390",137,0,5,31,99,10.04.22,72%,23%,4%,0%
436,EXO,,"2,700,818,518","4,752,962",313,0,7,58,166,01.03.22,53%,19%,2%,0%
437,Lunay,,"2,700,083,117","799,166,376",56,0,6,29,52,25.03.22,93%,52%,11%,0%
438,Why Don't We,,"2,700,059,226","87,886,458",95,0,8,53,81,22.03.22,85%,56%,8%,0%
439,Bradley Cooper,,"2,666,104,022",368,12,1,4,10,10,09.04.22,83%,83%,33%,8%
440,The Cure,,"2,660,147,954","1,258,218",544,0,6,25,174,03.04.22,32%,5%,1%,0%
441,Becky Hill,,"2,656,432,422","21,196,025",173,0,9,23,71,24.03.22,41%,13%,5%,0%
442,Os Barões Da Pisadinha,,"2,650,781,861","52,743,215",154,0,7,66,129,13.03.22,84%,43%,5%,0%
443,Mau y Ricky,,"2,644,781,291","253,177,587",65,0,5,35,63,05.02.22,97%,54%,8%,0%
444,Mabel,,"2,642,764,243","5,382,783",130,0,6,21,75,14.03.22,58%,16%,5%,0%
445,Weezer,,"2,636,294,980","5,060,398",258,0,4,45,190,16.02.22,74%,17%,2%,0%
446,Korn,,"2,628,293,170","8,909,521",292,0,5,46,200,28.02.22,68%,16%,2%,0%
447,SAINt JHN,,"2,623,951,753","120,384,180",54,1,3,32,53,21.02.22,98%,59%,6%,2%
448,Kali Uchis,,"2,613,490,072","1,457,775,255",65,0,4,48,61,11.04.22,94%,74%,6%,0%
449,Noah Cyrus,,"2,612,906,391","118,338,579",65,0,6,28,59,11.04.22,91%,43%,9%,0%
450,Calum Scott,,"2,604,637,385","30,699,559",66,0,6,19,54,25.12.21,82%,29%,9%,0%
451,T.I.,,"2,600,518,493","2,416,362,779",451,0,6,39,201,16.01.22,45%,9%,1%,0%
452,RAF Camora,,"2,588,846,229","996,321,149",387,0,3,58,141,13.01.22,36%,15%,1%,0%
453,Iggy Azalea,,"2,585,049,303","1,070,833,065",108,0,6,28,69,10.04.22,64%,26%,6%,0%
454,MEDUZA,,"2,582,637,100","9,395,439",55,0,4,11,32,15.03.22,58%,20%,7%,0%
455,Joan Sebastian,,"2,582,480,480","35,962,481",487,0,5,46,264,06.01.22,54%,9%,1%,0%
456,NLE Choppa,,"2,581,704,514","542,407,565",117,0,5,38,92,20.02.22,79%,32%,4%,0%
457,Paul McCartney,,"2,581,251,127","381,393,000",821,0,3,25,174,10.04.22,21%,3%,0%,0%
458,Journey,,"2,579,814,615",4,265,1,5,17,87,26.01.22,33%,6%,2%,0%
459,iann dior,,"2,568,052,953","512,357,562",67,0,8,39,53,21.01.22,79%,58%,12%,0%
460,Grupo Firme,,"2,562,887,333","457,301,788",161,0,6,51,115,19.02.22,71%,32%,4%,0%
461,Eric Church,,"2,557,769,261","271,051,795",286,0,4,49,115,11.02.22,40%,17%,1%,0%
462,Norah Jones,,"2,544,654,511","124,686,297",271,0,4,57,144,10.03.22,53%,21%,1%,0%
463,Juan Gabriel,,"2,538,927,985","98,418,039",481,0,2,56,232,07.01.22,48%,12%,0%,0%
464,Jesse & Joy,,"2,538,558,703","328,906,057",110,0,9,37,89,06.03.22,81%,34%,8%,0%
465,Vicente Fernández,,"2,537,133,599","96,262,577",851,0,1,54,317,01.03.22,37%,6%,0%,0%
466,MARINA,,"2,533,712,431","9,142,211",119,0,6,50,92,10.04.22,77%,42%,5%,0%
467,Kenny Chesney,,"2,525,550,972","150,869,102",277,0,3,49,184,06.02.22,66%,18%,1%,0%
468,Depeche Mode,,"2,521,393,833",0,689,0,3,39,267,18.03.22,39%,6%,0%,0%
469,Normani,,"2,503,197,119","100,508,766",16,0,4,13,16,09.04.22,100%,81%,25%,0%
470,Simon & Garfunkel,,"2,502,816,034",0,172,0,5,24,121,25.03.22,70%,14%,3%,0%
471,Aminé,,"2,493,613,158","148,599,248",72,0,4,38,71,06.03.22,99%,53%,6%,0%
472,Imanbek,,"2,492,412,088","24,538,988",53,1,3,19,41,01.03.22,77%,36%,6%,2%
473,The Game,,"2,492,313,888","570,383,861",736,0,6,39,204,11.04.22,28%,5%,1%,0%
474,PNL,,"2,491,153,666",0,72,0,2,66,72,08.03.22,100%,92%,3%,0%
475,Breaking Benjamin,,"2,487,834,376",0,102,0,4,56,97,07.04.22,95%,55%,4%,0%
476,Nick Jonas,,"2,487,713,592","52,551,336",94,0,8,27,74,10.03.22,79%,29%,9%,0%
477,Bonez MC,,"2,485,467,469","1,525,177,458",160,0,4,55,114,24.02.22,71%,34%,3%,0%
478,The Beach Boys,,"2,483,316,679","7,223,306",1.308,0,7,27,131,08.04.22,10015%,2064%,535%,0%
479,X Ambassadors,,"2,463,808,578","1,148,252,462",119,0,4,33,87,24.02.22,73%,28%,3%,0%
480,George Michael,,"2,462,361,017","21,698,795",183,0,4,31,119,03.04.22,65%,17%,2%,0%
481,The xx,,"2,446,382,290","9,161,558",76,0,5,38,65,23.02.22,86%,50%,7%,0%
482,KHEA,,"2,434,306,319","801,331,684",79,0,6,41,76,11.04.22,96%,52%,8%,0%
483,bbno$,,"2,429,258,945","226,578,394",146,0,2,39,120,09.04.22,82%,27%,1%,0%
484,Sabrina Carpenter,,"2,427,409,809","141,623,493",89,0,7,38,77,25.02.22,87%,43%,8%,0%
485,Christina Perri,,"2,427,118,735","87,851,996",90,1,3,17,56,20.02.22,62%,19%,3%,1%
486,Hillsong UNITED,,"2,426,520,824","129,624,148",354,0,2,56,236,04.02.22,67%,16%,1%,0%
487,Stray Kids,,"2,425,652,269","26,562,755",161,0,3,77,155,11.04.22,96%,48%,2%,0%
488,AJR,,"2,419,616,080","97,180,270",86,0,5,39,61,24.02.22,71%,45%,6%,0%
489,Jon Bellion,,"2,413,481,606","318,703,495",84,0,3,44,80,02.02.22,95%,52%,4%,0%
490,R.E.M.,,"2,409,236,484",285,657,0,5,20,127,21.03.22,19%,3%,1%,0%
491,Matoma,,"2,406,213,160","294,439,049",118,0,5,32,79,16.01.22,67%,27%,4%,0%
492,Rich The Kid,,"2,394,040,011","1,720,811,383",156,0,4,41,118,21.11.21,76%,26%,3%,0%
493,Ufo361,,"2,388,012,925","544,661,156",234,0,0,67,188,15.01.22,80%,29%,0%,0%
494,"Earth, Wind & Fire",,"2,383,853,016","89,300,089",428,1,3,20,70,16.03.22,16%,5%,1%,0%
495,Jimi Hendrix,,"2,383,848,304",559,504,0,5,29,136,23.03.22,27%,6%,1%,0%
496,La Arrolladora Banda El Limón De Rene Camacho,,"2,377,937,424","8,659,502",323,0,3,56,219,29.03.21,68%,17%,1%,0%
497,Los Ángeles Azules,,"2,372,052,568","67,465,206",311,0,5,53,113,19.10.21,36%,17%,2%,0%
498,Volbeat,,"2,371,741,552",176,204,0,5,50,146,02.02.22,72%,25%,2%,0%
499,Milky Chance,,"2,369,013,421","6,559,564",74,0,4,32,69,07.03.22,93%,43%,5%,0%
500,C. Tangana,,"2,363,044,873","154,739,971",80,0,6,45,78,03.04.22,98%,56%,8%,0%
501,Stormzy,,"2,348,844,516","955,819,202",69,0,7,49,67,03.04.22,97%,71%,10%,0%
502,KYLE,,"2,337,472,881","150,489,057",113,0,5,31,88,17.03.22,78%,27%,4%,0%
503,Van Morrison,,"2,329,889,907","82,580,169",847,0,4,21,129,03.04.22,15%,2%,0%,0%
504,Years & Years,,"2,323,577,791","80,163,208",103,0,7,30,72,28.01.22,70%,29%,7%,0%
505,Robbie Williams,,"2,318,889,755","20,059,538",401,0,6,38,189,19.02.22,47%,9%,1%,0%
506,Cali Y El Dandee,,"2,318,006,464","196,117,163",73,0,7,35,62,05.03.22,85%,48%,10%,0%
507,Sam Feldt,,"2,316,428,982","278,689,842",148,0,4,44,101,22.04.21,68%,30%,3%,0%
508,The Fray,,"2,311,899,224","4,251,361",98,0,5,22,60,24.02.22,61%,22%,5%,0%
509,El Alfa,,"2,302,041,489","482,098,652",174,0,7,40,119,31.01.22,68%,23%,4%,0%
510,Lynyrd Skynyrd,,"2,298,163,165",406,363,0,4,16,78,08.04.22,21%,4%,1%,0%
511,Eric Clapton,,"2,297,376,676","432,236,066",641,0,6,23,201,22.09.21,31%,4%,1%,0%
512,Rick Ross,,"2,296,030,012","4,384,956,598",334,0,4,45,190,27.12.21,57%,13%,1%,0%
513,Kid Ink,,"2,294,713,265","2,561,501,342",186,0,5,38,130,03.09.21,70%,20%,3%,0%
514,Dave,,"2,293,940,303","113,934,353",60,0,6,48,59,07.04.22,98%,80%,10%,0%
515,DNCE,,"2,280,705,753","299,693,378",32,1,4,18,32,10.03.22,100%,56%,13%,3%
516,Shinedown,,"2,278,456,555",0,177,0,4,50,119,11.03.22,67%,28%,2%,0%
517,Dimitri Vegas & Like Mike,,"2,269,766,636","105,236,190",252,0,2,52,135,12.08.21,54%,21%,1%,0%
518,All Time Low,,"2,268,594,714","1,324,192",210,0,2,47,167,02.02.22,80%,22%,1%,0%
519,Dermot Kennedy,,"2,256,439,059",0,71,0,4,35,60,14.01.22,85%,49%,6%,0%
520,T-Pain,,"2,255,856,235","2,489,989,607",213,0,6,28,111,30.12.21,52%,13%,3%,0%
521,Quinn XCII,,"2,251,586,862","149,711,825",85,0,5,50,85,03.04.22,100%,59%,6%,0%
522,Daryl Hall & John Oates,,"2,248,379,526",28,534,0,4,12,59,18.03.22,11%,2%,1%,0%
523,Rage Against The Machine,,"2,240,466,587",0,108,0,5,29,78,20.03.22,72%,27%,5%,0%
524,The Smiths,,"2,238,779,634",0,139,0,6,44,105,10.03.22,76%,32%,4%,0%
525,Grey,,"2,237,009,771","17,803,531",52,1,2,7,21,29.03.21,40%,13%,4%,2%
