#;Artist;Lead Streams;Feats;Tracks;1b;100m;10m;1m;Update
254;Madonna;4222199425;129956047;724;0;7;68;320;11.04.22
255;Zé Neto & Cristiano;4221145261;497595884;169;0;12;82;148;08.04.22
256;Jason Mraz;4207246125;93202208;240;1;6;48;154;05.03.22
257;Florence + The Machine;4205825596;311983;138;0;8;77;127;07.04.22
258;Galantis;4189406344;78683393;234;0;8;51;152;03.04.22
259;Morat;4185875702;385764813;70;0;11;59;69;11.04.22
260;Creedence Clearwater Revival;4159996209;0;130;0;8;35;109;22.03.22
261;Piso 21;4159992612;59739592;81;0;11;30;70;15.01.22
262;Nickelback;4155481128;3896172;149;0;12;55;105;09.04.22
263;Whitney Houston;4138412884;11987913;294;0;9;39;142;11.04.22
264;Glee Cast;4120130390;0;723;0;0;97;606;24.02.22
265;Bruce Springsteen;4118954973;39600529;785;0;10;56;381;24.03.22
266;Alok;4104472257;220199654;195;0;12;63;121;21.02.22
267;Lenny Tavárez;4081327351;3477276520;93;0;9;47;85;14.03.22
268;Kevin Gates;4066585990;658700819;293;0;6;106;216;15.03.22
269;Kehlani;4061666101;1916002618;111;0;10;74;99;22.03.22
270;Rammstein;4054152318;3560083;231;0;10;76;171;12.03.22
271;Avril Lavigne;4044257340;22253510;147;0;11;59;115;24.03.22
272;Niall Horan;4027382321;432614519;70;0;11;38;65;10.04.22
273;Macklemore & Ryan Lewis;4022288754;0;48;1;6;29;48;15.03.22
274;Jack Harlow;4020079266;242389591;83;1;7;36;79;10.04.22
275;Jonas Brothers;4008239293;479458782;95;1;9;37;88;10.03.22
276;My Chemical Romance;4003887551;0;134;0;10;53;116;19.02.22
277;Arcangel;3992087813;4560194472;238;0;8;54;190;04.03.22
278;Kane Brown;3988923813;25296252;95;0;9;53;86;13.02.22
279;Bryson Tiller;3969069576;1961089305;68;0;7;50;66;08.03.22
280;Capital Bra;3962800255;552397439;257;0;7;84;188;22.03.22
281;Lil Pump;3959622575;479747828;69;0;10;38;54;15.03.22
282;Bring Me The Horizon;3956689223;2955562;139;0;11;65;133;08.04.22
283;Alejandro Fernández;3952068045;309180885;313;0;9;70;235;09.04.22
284;Kelly Clarkson;3950359627;216498878;322;0;8;41;143;08.04.22
285;Wisin;3918901607;4941792286;115;0;10;40;96;17.03.22
286;Vance Joy;3912369230;0;74;1;7;36;59;26.03.22
287;Ryan Lewis;3896682000;42960372;33;1;6;28;32;15.03.22
288;Thomas Rhett;3883703770;96524246;109;0;14;53;100;10.04.22
289;Johnny Cash;3868696126;147659166;1.591;0;7;60;256;21.03.22
290;NAV;3864890544;1916197264;113;0;10;70;113;10.04.22
291;Jennifer Lopez;3846493269;1022591886;236;0;10;49;127;10.04.22
292;James Bay;3840880987;4096808;78;0;9;40;67;25.03.22
293;Lil Tjay;3833725578;1740661969;64;0;10;51;64;03.04.22
294;YG;3807380178;2392087229;197;0;8;70;134;01.03.22
295;YNW Melly;3785606447;339301648;82;0;9;34;79;08.04.22
296;Amy Winehouse;3784601812;237622443;159;0;7;52;92;29.03.22
297;Stevie Wonder;3781370780;269119367;603;0;9;47;153;16.02.22
298;Pearl Jam;3779149589;1609889;1.69;0;9;54;240;15.03.22
299;Duki;3765968579;822447264;138;0;10;60;126;03.04.22
300;Lil Tecca;3756285404;269171750;74;0;8;41;74;03.04.22
301;Disturbed;3751691983;0;170;0;6;68;145;09.02.22
302;Hans Zimmer;3749609183;27020966;1.492;0;3;78;518;15.03.22
303;Aerosmith;3745227775;0;284;0;8;31;152;17.02.22
304;Glass Animals;3737375994;3915552;97;1;5;44;77;11.04.22
305;Lil Skies;3732360925;748067580;58;0;9;46;57;10.04.22
306;Dr. Dre;3728870632;2028152932;91;0;8;30;85;10.03.22
307;Flume;3722679455;62719484;128;0;8;54;118;25.03.22
308;Miguel;3707744077;2134371760;139;0;8;49;112;30.03.22
309;Tones And I;3697594279;3959517;30;1;5;15;24;09.04.22
310;Nio Garcia;3653940107;130432338;121;0;7;30;94;23.03.22
311;Backstreet Boys;3652908638;183394836;134;0;8;39;124;10.04.22
312;Wisin & Yandel;3638651571;1018983101;289;0;10;47;137;21.03.22
313;Maná;3638463998;48077310;220;0;10;51;149;01.03.22
314;Kesha;3629467638;1810626925;139;0;9;39;104;10.04.22
315;Phil Collins;3552999942;114571424;337;0;9;38;151;09.04.22
316;Akon;3538482630;3202621129;206;0;9;34;111;10.04.22
317;Jason Aldean;3527119305;140753012;156;0;8;62;145;28.03.22
318;Three Days Grace;3482156443;683024;87;0;8;59;84;10.04.22
319;Jeremih;3476869433;3113656502;139;0;8;34;92;15.03.22
320;Matheus & Kauan;3466311609;589565820;163;0;8;74;152;08.03.22
321;Eagles;3462448327;0;192;1;5;38;115;24.03.22
322;Dan + Shay;3451481240;23323384;72;0;9;41;67;15.03.22
323;Yandel;3438503187;2193497804;173;0;8;52;141;11.01.22
324;24kGoldn;3435666563;149080986;58;1;7;21;53;03.04.22
325;Avenged Sevenfold;3425797988;2962919;163;0;9;64;136;30.03.22
326;Billy Joel;3423083488;8315314;413;0;9;38;142;16.02.22
327;The Strokes;3420301721;2441088;82;0;6;65;73;08.04.22
328;The Offspring;3413454637;0;158;0;7;46;128;25.03.22
329;Wesley Safadão;3397230098;563697075;279;0;5;59;254;07.03.22
330;Steve Aoki;3394815739;1437847167;412;0;6;64;215;19.03.22
331;Prince Royce;3376926461;1308005802;124;0;9;54;113;29.01.22
332;George Ezra;3373420855;36232;62;0;7;35;53;17.03.22
333;Jul;3368614373;1049482206;547;0;0;76;523;08.04.22
334;Lin-Manuel Miranda;3357127015;204907472;94;0;12;39;75;02.03.22
335;Lil Mosey;3348210594;464721415;47;1;5;34;47;21.03.22
336;Jessie J;3348178219;60774261;117;1;6;33;97;10.04.22
337;Céline Dion;3345983596;47392351;493;0;9;57;245;10.04.22
338;Ninho;3341951465;1411862147;149;0;4;104;130;09.04.22
339;benny blanco;3337797101;14573101;20;1;6;12;19;15.03.22
340;Anderson .Paak;3326060812;1136859034;149;0;5;70;117;02.04.22
341;Aventura;3311972637;273321;133;0;10;41;107;24.01.22
342;2 Chainz;3311231138;8520192061;409;0;7;53;171;03.04.22
343;Alejandro Sanz;3305109516;537301977;377;0;6;51;206;07.03.22
344;Ricardo Arjona;3282208125;8487580;341;0;3;69;264;15.03.22
345;Calibre 50;3278282846;82028793;227;0;7;71;168;01.03.22
346;Ricky Martin;3277273361;413110710;268;0;8;49;135;09.04.22
347;H.E.R.;3265378260;448090865;101;0;7;56;93;02.04.22
348;Lukas Graham;3253196453;165247216;66;1;3;27;55;15.03.22
349;Lizzo;3244144083;51927638;65;0;7;25;50;08.04.22
350;Trey Songz;3233181980;1364945269;269;0;7;57;184;09.04.22
351;CNCO;3219511018;230120914;80;0;6;44;69;10.04.22
352;Cartel De Santa;3216731726;211822080;136;0;7;61;126;06.03.22
353;Mark Ronson;3216017652;1156162195;150;1;4;24;81;27.02.22
354;Don Toliver;3210820381;579262615;66;0;5;33;58;10.03.22
355;Passenger;3207979391;1910286;217;1;2;44;180;17.02.22
356;Pentatonix;3188929665;4293645;200;0;2;97;177;04.03.22
357;Foster The People;3184094350;31256951;98;1;7;36;74;25.02.22
358;Train;3177452504;45772;172;0;8;20;84;25.02.22
359;Pablo Alborán;3175409734;217073910;172;0;8;61;160;31.03.22
360;Marc Anthony;3158590284;1647865677;197;0;7;58;140;11.03.22
361;Arijit Singh;3147906708;738215685;484;0;3;84;230;27.02.22
362;Daniel Caesar;3114399368;1168367943;38;0;7;35;36;05.03.22
363;Fetty Wap;3105020211;1590944007;138;0;7;35;86;15.03.22
364;Bob Dylan;3093919809;213.61;1.227;0;6;42;304;09.03.22
365;Rex Orange County;3091147000;327262384;57;0;7;35;55;07.04.22
366;Dire Straits;3070697148;0;102;0;5;43;97;08.04.22
367;Bee Gees;3048970940;57639921;445;0;5;35;108;09.04.22
368;James Blunt;3047515159;18114638;170;0;6;43;107;25.02.22
369;Maiara & Maraisa;3045781561;669905955;153;0;10;61;148;31.03.22
370;Bryan Adams;3043973361;142303846;386;0;7;34;129;26.03.22
371;Lil Durk;3037042966;2627058035;319;0;2;61;232;03.04.22
372;Lost Frequencies;3035321272;255851697;417;0;7;26;124;17.02.22
373;Quavo;3032997222;9543931963;80;0;7;43;66;03.04.22
374;R3HAB;3021016637;1262702976;301;0;4;64;203;16.02.22
375;Jeremy Zucker;3018495077;142295256;96;0;7;37;86;08.04.22
376;Alec Benjamin;3016113741;6373342;34;1;7;31;34;10.04.22
377;Boyce Avenue;3013798499;175724;438;0;2;70;345;04.03.22
378;ScHoolboy Q;3009909162;1577235787;88;0;8;48;84;25.03.22
379;Ski Mask The Slump God;3003127128;1060149934;71;0;7;43;70;01.04.22
380;John Williams;3002647601;10623185;2.42;0;2;39;358;15.03.22
381;Måneskin;2990300974;3372953;31;0;6;28;29;11.04.22
382;Outkast;2968851170;107773025;225;0;5;26;127;15.03.22
383;Bizarrap;2956263350;440918962;83;0;7;57;82;10.04.22
384;ROSALÍA;2947357490;1700465476;52;0;6;33;52;11.04.22
385;LANY;2945519486;272497148;84;0;8;56;80;15.03.22
386;Sam Hunt;2940660923;20722494;60;0;8;33;55;23.01.22
387;PARTYNEXTDOOR;2939827455;1775279725;80;0;8;48;79;05.02.22
388;Danny Ocean;2935339872;186131163;57;1;6;24;42;01.04.22
389;Disney;2929593793;711802;356;0;9;29;182;25.02.22
390;Jhené Aiko;2923715198;2506683365;113;0;7;65;93;09.04.22
391;Cage The Elephant;2922215689;0;107;0;5;42;83;28.03.22
392;Rels B;2914410971;93884396;105;0;5;68;97;31.03.22
393;Offset;2914353921;5413833639;46;0;7;28;35;26.03.22
394;Charli XCX;2907444303;1314001967;197;0;8;45;130;02.03.22
395;Dean Lewis;2903655994;1712279;40;1;6;25;36;21.02.22
396;Liam Payne;2891432081;16649072;51;0;7;17;39;10.04.22
397;Hillsong Worship;2886291597;0;847;0;3;72;322;28.03.22
398;Sigala;2880097855;50716650;103;0;9;31;72;31.01.22
399;Conan Gray;2879943163;0;26;0;6;26;26;11.04.22
400;ILLENIUM;2871199116;151241879;206;0;4;56;148;16.03.22
401;Nelly;2870134429;641905638;208;0;8;28;90;14.01.22
402;Summer Walker;2869130145;877961145;87;0;7;56;74;29.03.22
403;The Vamps;2864306647;0;147;0;8;36;115;31.03.22
404;alt-J;2849176993;1169421;146;0;7;39;93;15.02.22
405;Rudimental;2844040533;19915054;188;0;6;30;112;28.08.21
406;Blake Shelton;2843428181;246000758;200;0;8;43;128;18.03.22
407;BROCKHAMPTON;2840585690;1043877;112;0;4;67;109;25.02.22
408;Lil Yachty;2839598250;4748532522;178;0;6;52;151;22.03.22
409;Bibi Blocksberg;2837917009;104884;5.069;0;0;1;507;27.02.22
410;Marvin Gaye;2834639150;38468834;718;0;7;24;111;31.12.21
411;Mike Posner;2830127088;282151382;179;1;4;20;69;03.04.22
412;The Police;2817744034;80423;123;1;5;18;84;24.02.22
413;Jax Jones;2800287993;313190229;83;0;11;20;52;08.04.22
414;Iron Maiden;2799609745;0;425;0;5;46;268;26.03.22
415;The Black Keys;2797692996;0;189;0;5;53;136;25.03.22
416;Armin van Buuren;2795922270;189205318;2.179;0;4;43;288;04.09.21
417;Zac Brown Band;2790718796;10921224;141;0;6;46;108;27.12.21
418;Rise Against;2779404268;2764;180;0;4;51;166;29.03.22
419;Carlos Vives;2778295879;205270008;266;0;6;36;144;07.01.22
420;Bon Iver;2770728013;938556559;45;0;6;37;42;22.03.22
421;Juanes;2754729408;1863681229;201;0;7;34;116;28.03.22
422;A$AP Ferg;2752987100;1352077445;97;0;6;46;90;07.04.22
423;Skillet;2746916180;0;195;0;7;46;113;05.02.22
424;Maren Morris;2743973922;519703626;69;1;6;24;50;25.03.22
425;Birdy;2742086678;85459177;106;0;7;38;90;11.04.22
426;Destiny's Child;2741533523;17218122;186;0;8;19;86;18.03.22
427;Chris Stapleton;2730206844;610690719;60;0;7;45;59;19.03.22
428;Soda Stereo;2716861805;7.94;198;0;4;52;173;29.03.22
429;Tate McRae;2712453216;4156480;42;0;6;30;40;10.04.22
430;Madison Beer;2710963314;144948403;52;0;11;26;45;28.03.22
431;The Doors;2710207896;29087815;715;0;7;45;139;18.03.22
432;JP Cooper;2709357752;81186532;130;0;4;29;91;16.02.22
433;Papa Roach;2706532270;43162358;236;0;4;42;150;10.04.22
434;Tim McGraw;2705527493;59202906;284;0;5;54;130;06.02.22
435;Carly Rae Jepsen;2701503833;62128390;137;0;5;31;99;10.04.22
