#;Artist;Lead Streams;Feats;Tracks;1b;100m;10m;1m;Update
547;Red Velvet;2160611552;13091912;135;0;6;30;115;10.04.22
548;Enya;2157676586;25132121;145;0;4;55;129;10.04.22
549;TINI;2155234587;283424335;67;0;7;30;60;11.04.22
550;Kodaline;2153097303;269854537;123;0;4;31;84;14.02.22
551;Maria Becerra;2148242558;318831002;37;0;3;27;37;11.04.22
552;PnB Rock;2147508965;1743992790;114;0;5;35;87;26.03.22
553;Clairo;2141415867;693940847;25;0;7;25;25;07.04.22
554;Andy Grammer;2141212145;4624318;76;0;5;26;70;15.12.21
555;Damso;2134331477;614346511;91;0;1;73;89;09.03.22
556;Rod Wave;2133371352;57299377;112;0;3;54;110;28.03.22
557;Juan Magán;2132723236;770831049;225;0;5;40;105;19.07.21
558;ODESZA;2130566617;123721529;160;0;3;50;128;03.04.22
559;RAYE;2127403345;554374909;89;0;4;28;60;28.03.22
560;Mustard;2126748759;1862695034;75;0;4;18;54;15.03.22
561;Evanescence;2126237677;27127;110;0;3;29;91;31.03.22
562;Aretha Franklin;2125906398;8642344;932;0;4;27;133;09.04.22
563;Ludovico Einaudi;2116061503;2128695;507;0;3;38;221;29.06.21
564;Carrie Underwood;2113151398;356522108;159;0;3;36;116;05.03.22
565;Casper Magico;2112052946;169816074;94;0;5;20;68;13.01.22
566;De La Ghetto;2111451367;2229899939;155;0;5;35;93;02.02.22
567;El Fantasma;2111084372;49559351;203;0;5;52;153;04.03.22
568;Sfera Ebbasta;2107409857;972396850;81;0;1;58;80;17.01.22
569;Topic;2105970904;9678575;95;0;2;20;51;01.02.22
570;Joyner Lucas;2104734498;700864423;88;0;6;38;82;11.04.22
571;Sublime;2089096025;121741;219;0;5;27;115;01.01.22
572;George Strait;2086250690;30245826;444;0;2;44;201;03.03.22
573;Goodboys;2076198598;4410508;41;0;4;8;20;15.03.22
574;Shaggy;2076084987;458526064;412;0;5;23;95;03.01.22
575;Carlos Rivera;2072690234;503472671;205;0;5;42;143;25.03.22
576;Nas;2071833272;828777448;341;0;4;41;196;02.04.22
577;Scorpions;2061875918;0;354;0;4;19;159;03.04.22
578;GIMS;2059425846;258300714;175;0;2;45;149;02.12.21
579;Melendi;2052653246;115834448;213;0;2;51;192;15.12.21
580;Sum 41;2052154060;5834184;127;0;5;33;96;10.04.22
581;WALK THE MOON;2046847925;101590178;97;1;3;24;53;03.02.22
582;Bing Crosby;2046327740;8324686;1.277;0;7;27;74;15.03.22
583;Ozzy Osbourne;2046223075;60324633;218;0;3;22;126;01.04.22
584;Axwell /\ Ingrosso;2043412175;2161352;47;0;4;17;38;03.07.21
585;TOTO;2027598148;2940202;394;1;3;10;75;20.06.21
586;Ali Gatie;2024800965;2210144;42;0;4;19;39;15.03.22
587;Luan Santana;2023576048;235275039;201;0;3;41;155;10.04.22
588;MC Kevinho;2017633840;285797796;72;0;4;33;58;09.03.22
589;Astrid S;2016205787;120608284;103;0;5;36;79;14.03.22
590;José José;2012694054;119887461;525;0;1;48;177;07.01.22
591;Nacho;2011469241;133218579;146;0;6;24;58;11.04.22
592;Two Door Cinema Club;2011041561;1884704;140;0;4;30;89;03.04.22
593;Marilyn Manson;2006159206;51705649;227;0;4;33;175;20.02.22
594;SEVENTEEN;1997992910;0;135;0;1;69;130;11.04.22
595;Don Diablo;1994189382;100923748;238;0;1;56;125;03.11.21
596;Natanael Cano;1991265507;193699213;117;0;3;41;107;27.03.22
597;League of Legends;1991123083;1480221711;457;0;6;26;109;10.04.22
598;Ella Mai;1987800591;302745447;39;0;6;34;37;01.04.22
599;Seeb;1982875398;2958214318;110;0;5;24;59;15.03.22
600;Wale;1979397963;1403267422;335;0;4;37;152;15.03.22
601;Sido;1978652010;490506888;365;0;2;48;181;01.03.22
602;The Smashing Pumpkins;1976724675;8272897;252;0;7;23;97;12.03.22
603;Aitana;1975913405;10889372;70;0;7;31;67;11.04.22
604;Dolly Parton;1969439494;166034414;979;0;4;18;148;31.03.22
605;Afrojack;1967609231;1660093295;349;0;2;36;134;08.04.22
606;Danna Paola;1965483771;494381378;106;0;6;31;69;27.01.22
607;Louis Tomlinson;1957614665;0;42;0;4;20;29;10.04.22
608;Bibi und Tina;1951141273;22746305;3.428;0;0;1;354;09.10.21
609;Zoé;1949172154;10870475;194;0;6;43;117;05.01.22
610;Jorja Smith;1946965318;410621512;77;0;4;39;62;29.12.21
611;Tainy;1946553010;1251603662;39;0;3;13;29;01.10.21
612;Swedish House Mafia;1945912424;4805509;37;0;6;17;31;10.02.22
613;Electric Light Orchestra;1944015683;658828;311;0;3;20;128;15.03.22
614;Banda El Recodo;1942297629;1995244;608;0;2;49;190;03.03.22
615;Luciano;1942248023;346398056;148;0;0;57;118;03.12.21
616;Marco Antonio Solís;1941685957;631393495;211;0;4;40;159;08.03.22
617;Bryant Myers;1938711275;1857271122;97;0;4;44;87;14.11.21
618;Tom Odell;1936063808;42555708;125;0;3;23;72;03.04.22
619;Jaden;1934433832;1384531005;110;0;2;40;101;19.03.22
620;Arizona Zervas;1932876803;27172275;32;1;2;15;32;10.03.22
621;Colbie Caillat;1931641969;110299398;104;0;3;18;89;04.01.22
622;Portugal. The Man;1926556559;47772393;192;1;1;28;89;15.03.22
623;Rascal Flatts;1926354766;51561061;248;0;4;28;114;17.01.22
624;Mac DeMarco;1922941798;60238699;149;0;4;36;108;07.03.22
625;R. Kelly;1919567818;387404906;364;0;2;30;199;04.03.22
626;Kacey Musgraves;1919537985;129122216;126;0;3;40;93;10.04.22
627;gnash;1915854995;271054469;76;1;2;23;60;03.09.21
628;Lord Huron;1915787838;0;74;0;3;23;68;21.02.22
629;Martin Jensen;1914722449;284446578;77;0;3;21;51;14.01.22
630;Ms. Lauryn Hill;1913865460;306989233;89;0;5;26;56;08.04.22
631;Desiigner;1907206771;531800277;54;1;2;14;41;28.03.22
632;Joel Corry;1904425741;14825088;138;0;5;12;51;04.01.22
633;Hardwell;1904378051;239216545;412;0;0;45;157;04.09.21
634;Kontra K;1904257145;186214476;291;0;0;51;170;03.12.21
635;The Clash;1903714941;0;237;0;3;22;93;28.03.22
636;Annie Lennox;1901440821;9362643;322;0;3;21;83;31.03.22
637;M83;1889813177;15945776;237;0;3;21;112;22.03.22
638;Noriel;1885777977;1351914726;93;0;3;35;83;08.04.22
639;David Bisbal;1881444956;352838218;246;0;4;31;122;07.01.22
640;Mike WiLL Made-It;1878607489;300670285;141;0;5;29;69;10.01.22
641;Jessie Reyez;1868120640;484095993;61;0;3;25;54;31.03.22
642;Apache 207;1867832748;119315494;46;0;5;35;46;01.03.22
643;Westlife;1865228319;26452;231;0;3;38;146;03.04.22
644;Leon Bridges;1863905131;726770730;77;0;5;38;72;03.03.22
645;Vampire Weekend;1863899849;0;74;0;2;45;67;22.03.22
646;3 Doors Down;1855326422;587256;145;0;3;17;102;30.10.21
647;The Kooks;1853336184;0;241;0;5;28;96;03.02.22
648;DMX;1853167052;246922698;303;0;4;23;97;10.04.22
649;Elevation Worship;1853026743;18125174;254;0;2;42;182;28.03.22
650;Thirty Seconds To Mars;1852351162;46868219;84;0;4;34;75;03.04.22
651;Eladio Carrion;1852333972;233257296;139;0;4;47;128;30.03.22
652;Sara Bareilles;1846574683;74016418;187;0;5;22;108;05.11.21
653;NEFFEX;1844515118;574574;194;0;3;36;177;01.04.22
654;Cosculluela;1840429838;985988184;132;0;4;26;92;09.02.22
655;Stromae;1840011145;57961427;55;0;4;25;47;08.04.22
656;OMI;1839084521;126088476;45;1;2;7;26;28.03.22
657;MØ;1836988128;3240131189;118;0;4;31;82;02.01.22
658;Loud Luxury;1836236296;38153803;136;0;2;22;43;15.03.22
659;Alan Jackson;1834172525;75453285;274;0;2;37;156;21.11.21
660;Wham!;1833450660;829269;36;0;2;10;29;19.03.22
661;Feid;1831035911;2084138968;127;0;2;37;91;29.03.22
662;Joey Bada$$;1830254128;678683208;112;0;3;44;91;05.02.22
663;KISS;1827390409;0;436;0;4;18;138;24.11.21
664;Chief Keef;1827381564;562943815;555;0;5;24;193;29.03.22
665;Mitski;1825719799;17844850;73;0;4;42;72;11.04.22
666;Fergie;1824083843;176011407;78;0;6;10;45;15.10.21
667;Owl City;1820788847;88320464;109;0;2;26;103;15.02.22
668;Moneybagg Yo;1818492899;1024657167;252;0;0;48;187;03.02.22
669;Chencho Corleone;1818143513;903717432;20;0;6;15;19;24.03.22
670;Bethel Music;1817317476;0;285;0;0;43;240;30.09.21
671;Queens of the Stone Age;1816426350;61605797;139;0;4;42;108;08.04.22
672;Olly Murs;1815075932;27584815;179;0;4;23;112;26.02.22
673;Ha*Ash;1814961321;438924791;126;0;3;37;91;03.04.22
674;Gwen Stefani;1809551478;997025249;98;0;4;17;66;10.04.22
675;Nekfeu;1808355794;470164273;96;0;0;65;89;10.03.22
676;Stefflon Don;1792910721;311307007;82;0;6;22;61;02.02.22
677;Pharrell Williams;1784741140;5864509754;109;0;2;21;60;12.01.22
678;Snow Patrol;1783252110;0;191;0;2;22;98;12.03.22
679;Internet Money;1782822946;303493350;42;0;4;12;26;15.02.22
680;Nat King Cole;1781637457;7968288;1.06;0;3;31;116;01.04.22
681;Chelsea Cutler;1781068821;471785136;94;0;4;32;82;22.03.22
682;Louis Armstrong;1779970682;15887031;2.256;0;4;23;137;01.04.22
683;Conor Maynard;1777787665;345172688;134;0;3;37;90;14.03.22
684;Dilsinho;1777181192;355244058;163;0;5;35;131;10.03.22
685;Aloe Blacc;1775884212;229455652;208;0;4;21;64;21.11.21
686;Ciara;1771793452;464651309;155;0;4;23;88;02.04.22
687;Keane;1771563290;586266;195;0;2;24;104;12.02.22
688;Dean Martin;1771305531;10481374;695;0;4;26;123;15.03.22
689;Willy William;1764613431;325335993;81;1;3;11;27;02.12.21
690;Mötley Crüe;1758730268;0;226;0;5;24;92;26.03.22
691;Ruth B.;1758693981;4485138;48;0;4;13;32;09.04.22
692;Ella Fitzgerald;1754908032;11682691;2.016;0;2;28;170;15.03.22
693;Denzel Curry;1753094571;473144329;131;0;3;43;108;03.04.22
694;James TW;1749161120;4791069;37;0;5;19;34;07.01.22
695;Dierks Bentley;1749093368;159991408;150;0;5;25;87;17.01.22
696;Lady A;1747368203;132831554;228;0;4;26;129;28.03.22
697;Charlie Brown Jr.;1742181493;36908530;278;0;2;32;178;09.02.22
698;Sting;1741255191;248484612;483;0;3;23;199;08.04.22
699;MAX;1740761040;135760965;141;0;4;26;79;10.02.22
700;Regard;1736446486;0;37;0;4;9;24;23.01.22
701;The Jackson 5;1729731106;2315535;342;0;5;12;48;11.04.22
702;Limp Bizkit;1729420743;2809309;114;0;5;21;93;22.02.21
703;Thalia;1728798743;313525281;305;0;2;30;125;11.04.22
704;WILLOW;1728057678;249932356;76;0;3;16;69;02.04.22
705;Leona Lewis;1716925991;52026118;134;0;4;17;75;10.04.22
706;Sleeping At Last;1715283824;90559;275;0;3;37;162;30.07.21
707;Blueface;1715014251;553380455;94;0;4;27;74;20.02.22
708;Kelly Rowland;1714072094;761721964;146;0;3;15;53;30.12.21
709;La Oreja de Van Gogh;1712667458;58832697;182;0;2;39;161;08.02.22
710;ANAVITÓRIA;1711969685;233230840;72;0;3;41;69;09.04.22
711;Martin Solveig;1709991280;1344396;245;0;5;17;64;03.04.22
712;Old Dominion;1708290952;2380424;85;0;7;26;57;10.03.22
713;Dynoro;1704509405;361342;17;1;3;9;16;15.03.22
714;Booba;1704427997;632823707;240;0;0;48;194;02.01.22
715;Bill Withers;1703855893;76369166;120;0;4;10;62;22.01.22
716;Miranda Lambert;1700675664;185262557;195;0;4;30;155;11.04.22
717;Oliver Heldens;1699980311;244515307;139;0;3;36;95;15.03.22
718;John Newman;1694415482;366104452;90;0;3;14;59;28.01.22
719;Lofi Fruits Music;1690425100;110241102;1.087;0;0;15;448;06.09.21
720;Mon Laferte;1688673454;301533513;143;0;4;29;114;08.04.22
721;fun.;1686806996;191791;26;0;3;16;25;15.03.22
722;Trevor Daniel;1684760342;162409345;48;1;2;12;43;07.11.21
723;Lee Brice;1683473873;13377876;96;0;6;15;70;16.02.22
724;Santana;1682972727;3307046;614;0;4;24;127;23.11.21
725;Lalo Ebratt;1681668508;77916445;56;0;7;15;40;15.03.22
726;Ezhel;1681356925;170995928;61;0;1;47;57;17.03.22
727;Los Temerarios;1681112753;177235;322;0;0;52;131;27.03.22
728;CHVRCHES;1679143617;5309081;118;0;2;34;84;29.03.22
729;Cigarettes After Sex;1677280509;2912044;30;0;4;28;30;28.02.22
730;girl in red;1675372984;4401804;29;0;5;21;29;31.01.22
731;The Who;1671018602;0;852;0;6;14;91;11.12.21
732;Ben Howard;1669894664;643029;60;0;4;27;53;27.12.21
733;John Lennon;1669767320;5911719;286;0;3;20;78;14.02.22
734;Alice In Chains;1668293811;155547;151;0;4;33;101;14.02.22
735;Lil Dicky;1667883757;120147438;23;0;5;16;23;13.01.22
736;Calle 13;1662465310;101517310;81;0;4;32;76;17.11.21
737;Michael Silverman;1660294072;202368;934;0;0;45;224;26.02.21
738;Sade;1658413138;1370349;117;0;5;37;109;16.12.21
739;Roxette;1653401484;303155;443;0;4;19;92;27.03.22
740;Saweetie;1652524603;453650245;66;0;4;23;54;25.02.22
741;Ghostemane;1652370268;61363551;139;0;2;38;109;11.03.22
742;Luísa Sonza;1650151162;2032880;63;0;4;33;52;10.04.22
743;Daya;1650033117;2052229031;44;0;4;18;38;09.03.22
744;Surfaces;1648779396;0;68;0;1;21;64;03.04.22
745;Gera MX;1646925748;417426033;160;0;1;44;137;24.02.22
746;Miracle Tones;1644986750;0;116;0;0;69;111;31.03.22
747;Jack Ü;1644436729;946521;38;0;4;10;30;15.03.22
748;Gerardo Ortiz;1642590276;411753848;233;0;1;36;170;12.02.21
749;beabadoobee;1641802433;9891518;59;1;1;9;49;17.03.22
750;Bruno & Marrone;1641516050;214399361;412;0;1;36;193;04.12.21
751;The Pussycat Dolls;1639733506;23019662;55;0;5;15;41;12.03.22
752;Shania Twain;1638667944;177356722;167;0;4;24;99;03.04.22
753;MKTO;1635951803;12317413;29;0;1;14;28;07.03.22
754;MAGIC!;1630745946;144910604;53;0;2;12;42;15.03.22
755;Brent Faiyaz;1629252555;724500953;47;0;6;31;47;07.02.22
756;TOMORROW X TOGETHER;1627883302;0;60;0;5;41;58;07.04.22
757;Kylie Minogue;1627137071;118064277;903;0;2;35;164;08.04.22
758;Chris Young;1626882431;101066689;105;0;3;23;78;15.03.22
759;Niska;1626437153;549636654;109;0;1;44;106;02.12.21
760;Incubus;1624593194;0;229;0;3;28;128;02.09.21
761;Gryffin;1624514140;414715959;120;0;6;24;72;23.04.21
762;Mike Perry;1622103022;25772096;48;0;3;19;40;03.01.22
763;Powfu;1617907608;107941893;66;1;1;12;62;03.09.21
764;Tee Grizzley;1617436989;139751443;129;0;3;24;109;12.05.21
765;Oliver Tree;1616106883;40690022;63;0;3;29;55;08.03.22
766;Arcade Fire;1613790780;0;105;0;3;45;85;28.03.22
767;Yo Gotti;1612651009;1174641342;479;0;2;27;130;04.07.21
768;Los Tigres Del Norte;1612543190;141929772;629;0;0;34;233;06.09.21
769;Gigi D'Agostino;1607853514;811917;423;1;2;7;29;02.07.21
770;Sean Kingston;1606272045;138827630;134;0;5;16;43;02.02.22
771;Seether;1604549533;0;174;0;3;26;117;15.02.22
772;Angus & Julia Stone;1603107795;60666009;131;0;3;28;85;15.03.22
773;Taio Cruz;1599916213;24566920;92;0;4;14;41;27.12.21
774;Sin Bandera;1599004041;110277283;116;0;6;22;87;07.03.22
775;Paul Simon;1593888818;71637772;429;0;3;20;108;25.02.22
776;Bullet For My Valentine;1593844909;29755;173;0;2;41;101;10.04.22
777;Dennis Lloyd;1592538444;0;47;0;2;22;35;12.03.22
778;Nina Simone;1592276567;21733273;549;0;3;22;134;08.04.22
779;Chayanne;1592266755;116607867;235;0;4;26;93;07.01.22
780;Simple Plan;1590770094;1985975;123;0;4;29;92;08.04.22
781;Jon Pardi;1588158565;142489487;65;0;5;20;49;28.03.22
782;Kollegah;1588116587;102554181;545;0;0;38;301;07.04.22
783;Beret;1586857502;43424522;48;0;3;40;47;04.10.21
784;Frédéric Chopin;1580987576;1163362;9.79;0;0;20;229;06.08.21
785;Rich Brian;1579557494;569603914;57;0;4;36;55;11.04.22
786;Jasmine Thompson;1578078543;922355329;116;0;3;38;88;23.02.22
787;Lionel Richie;1577536553;49517630;289;0;6;17;67;10.03.22
788;Santa Fe Klan;1575586583;401537463;200;0;2;35;117;14.03.22
789;Darell;1574554327;4304120013;126;0;4;29;87;17.11.21
790;AJ Tracey;1574189249;154919341;97;0;6;27;83;03.01.22
791;Summer Cem;1573975905;304963253;196;0;2;35;118;03.12.21
792;TKKG;1573552413;0;3.611;0;0;0;22;15.03.22
793;Bea Miller;1567499277;971037218;42;0;4;23;42;02.04.22
794;Max Richter;1562420038;42077;962;0;0;20;234;28.03.22
795;Yung Gravy;1560336653;9378234;72;0;3;29;69;21.11.21
796;Greeicy;1557381949;45669026;60;0;5;29;50;31.03.22
797;Nipsey Hussle;1556614747;248342343;278;0;3;34;137;12.02.22
798;*NSYNC;1553648840;22300666;91;0;5;16;70;10.04.22
799;Gente De Zona;1552539697;1252561307;111;0;3;20;76;23.09.21
800;IU;1551689084;77710513;165;0;2;31;91;10.04.22
801;KSI;1547136241;26278426;113;0;2;38;87;02.04.22
802;Lily Allen;1546252621;332067134;115;0;4;23;78;17.03.22
803;Otis Redding;1546113623;130676074;281;0;3;19;87;15.02.22
804;Dido;1544444396;5272415;196;0;3;14;81;21.03.22
805;Die drei !!!;1543605722;23498439;2.798;0;0;0;58;09.10.21
806;Guaynaa;1541206062;88976740;60;0;5;16;39;06.11.21
807;LUDMILLA;1537759585;430517451;158;0;1;37;132;09.04.22
808;The National;1532521751;81968174;210;0;1;44;138;03.02.22
809;JID;1531738714;663633279;52;0;4;27;51;24.03.22
810;Junior H;1521935292;225505141;100;0;4;31;90;27.03.22
811;Selena;1517058313;2447052;134;0;6;23;88;31.03.22
812;Juicy J;1516124067;3596085282;438;0;2;32;104;15.03.22
813;Chase Atlantic;1514384881;8759864;71;0;3;37;69;11.02.22
814;Tina Turner;1513978176;118924044;253;0;5;16;77;08.04.22
815;Kiiara;1512596357;280284880;73;0;3;19;35;28.03.22
816;Tom Walker;1511033109;96049001;87;0;3;22;57;11.03.22
817;Beastie Boys;1508487605;673899;307;0;4;21;162;08.03.22
818;Felipe Araújo;1507060178;144991670;97;0;5;18;64;03.09.21
819;Tears For Fears;1504287492;2390954;216;0;2;11;60;14.03.22
820;Mother Mother;1500373798;81834;139;0;5;17;96;07.04.22
821;Wolfgang Amadeus Mozart;1499926731;4517918;12.276;0;0;15;216;10.12.21
822;Yusuf / Cat Stevens;1499356330;16380259;277;0;3;18;62;24.12.21
823;Brad Paisley;1497397443;65060430;233;0;1;37;130;13.02.22
824;Ice Cube;1494097969;176529482;265;0;3;20;145;28.01.21
825;Sofía Reyes;1494024710;190626412;57;0;3;19;40;07.04.22
826;Tracy Chapman;1492458440;81015248;102;0;4;14;88;27.03.22
827;Neil Young;1492248289;17581131;856;0;3;22;131;02.09.21
828;Cyndi Lauper;1490928251;6688996;219;0;3;8;33;24.03.22
829;Kevin Roldan;1489016332;399120073;126;0;2;29;89;11.06.21
830;Olivia O'Brien;1488714543;1409882112;53;0;3;21;42;07.04.22
831;Mary J. Blige;1486297443;1993446400;370;0;2;26;145;10.04.22
832;Dominic Fike;1481646219;122848899;29;0;2;20;29;09.04.22
833;Deftones;1477162208;144723;140;0;2;36;120;25.03.22
834;CRO;1475265559;154703547;147;0;1;36;118;15.01.22
835;NCT 127;1471771588;44047951;126;0;1;42;98;11.04.22
836;Oh Wonder;1469634733;648105775;70;0;5;31;61;09.04.22
837;Mr. Probz;1468101115;226905910;37;0;3;11;31;15.03.22
838;will.i.am;1464072652;1916862436;99;0;4;14;43;30.12.21
839;Ramin Djawadi;1463572669;487083;945;0;1;28;252;01.01.22
840;Lenny Kravitz;1461193821;55645523;268;0;4;20;97;17.03.22
841;Yellow Claw;1460222344;76991831;238;0;2;30;115;09.07.21
842;Lupe Fiasco;1459814615;242316306;171;0;4;20;120;25.02.22
843;Brett Young;1453837366;16061104;60;0;4;19;43;11.02.22
844;The Score;1452206125;1605667;65;0;4;27;63;10.04.22
845;Ferrugem;1451970050;261221335;150;0;1;33;111;04.12.21
846;Wallows;1450279365;2582488;50;0;4;27;44;08.04.22
847;Blur;1446872555;18482;356;0;2;19;90;25.03.22
848;Matuê;1446021815;218393746;33;0;3;27;32;03.04.22
849;Audioslave;1442387593;0;59;0;5;16;47;17.02.22
850;Río Roma;1442347614;110842320;103;0;4;31;84;03.04.22
851;KALEO;1440760955;26658;27;0;3;19;25;27.12.21
852;Cash Cash;1439917088;113946718;163;0;3;26;68;23.02.22
853;Jowell & Randy;1437376703;749282863;171;0;3;23;88;22.11.21
854;deadmau5;1435327412;29378066;287;0;1;29;181;02.03.22
855;Granular;1434614692;0;432;0;2;19;69;05.03.21
856;ZZ Top;1434520039;0;266;0;3;15;96;04.03.22
857;Pineapple StormTv;1433855785;132014674;213;0;3;26;100;17.01.22
858;Lil Kleine;1432418175;324579766;119;0;0;41;98;08.02.22
859;Will Smith;1430069964;31667017;89;0;6;15;45;08.03.22
860;Petit Biscuit;1428912933;21385724;86;0;1;23;57;24.03.22
861;Alex Rose;1427992828;417963769;61;0;3;24;56;07.07.21
862;Natiruts;1426946674;20056205;216;0;1;36;156;19.03.22
863;Skepta;1426619159;1358721431;147;0;1;36;107;02.03.22
864;Julieta Venegas;1425752323;611581642;149;0;5;16;85;07.04.22
865;DJ Luian;1425231812;1986428348;52;0;4;15;41;22.02.21
866;Giveon;1423652277;1561901475;18;0;3;18;18;27.03.22
867;Joaquín Sabina;1422454877;118190502;345;0;0;38;215;23.01.22
868;DENNIS;1419916276;117580197;305;0;4;30;120;20.06.21
869;Natalia Lafourcade;1418040225;781127916;174;0;3;28;113;11.11.21
870;Mc Don Juan;1417882287;204494755;150;0;4;34;85;25.01.22
871;Toby Keith;1414744380;20102622;302;0;4;22;89;28.03.22
872;Timbaland;1414077091;1982606596;162;0;4;14;61;01.04.22
873;Tech N9ne;1413659255;538028931;451;0;0;27;219;08.10.21
874;Gustavo Cerati;1412796197;187387067;161;0;3;34;108;29.03.22
875;Cher;1411271803;13251847;398;0;2;19;67;10.04.22
876;Dadju;1410865141;438271734;93;0;1;36;90;18.02.22
877;Mambo Kingz;1409982433;1796968260;36;0;5;11;14;26.02.21
878;Baby Lullaby Academy;1409215562;30122083;2.087;0;0;52;164;22.09.21
879;Nicki Nicole;1409152229;355380824;40;0;3;27;39;03.04.22
880;AURORA;1408851287;360467474;98;0;1;31;75;10.04.22
881;Tori Kelly;1407405192;506153877;99;0;3;25;82;31.03.22
882;BØRNS;1406826101;17219722;44;0;3;19;40;17.01.22
883;Spice Girls;1406395669;657.1;106;0;3;11;38;09.04.22
884;TLC;1403055555;219483244;173;0;3;9;50;01.04.22
885;Tungevaag;1400559149;3724601;76;0;4;26;49;13.01.22
886;Sasha Alex Sloan;1399592413;332017725;41;0;3;29;40;19.02.22
887;The Goo Goo Dolls;1396855854;279713;248;0;2;13;69;23.03.21
888;Kris Kross Amsterdam;1394452332;10578924;42;0;2;13;25;06.12.21
889;Jay Chou;1394403171;20862440;297;0;0;45;162;02.04.21
890;Pink Sweat$;1394011678;49857313;57;0;2;25;48;19.03.22
891;Vince Staples;1391883412;544239428;83;0;2;27;78;25.02.22
892;La Adictiva Banda San José de Mesillas;1390733819;37897054;118;0;4;24;61;12.12.21
893;Lykke Li;1388396018;70345110;96;0;3;26;69;08.02.22
894;Bruno Martini;1388281030;22132950;100;0;3;16;38;09.03.22
895;Alina Baraz;1387776431;27621680;76;0;3;26;67;20.01.22
896;Maggie Lindemann;1385564835;2778318;26;0;2;14;26;24.03.22
897;Jack & Jack;1383240105;44970275;43;0;2;15;41;15.03.22
898;Lauren Daigle;1382314910;135808339;67;0;1;33;64;02.02.22
899;Falling In Reverse;1378263958;0;64;0;2;36;63;05.03.22
900;Melim;1371553776;57466342;87;0;2;31;66;09.04.22
901;Dread Mar I;1370017836;33541844;159;0;2;23;125;16.03.22
902;YUNGBLUD;1367258954;366326991;77;0;2;32;60;17.10.21
903;Tyler Childers;1364738618;25911814;61;0;2;34;57;11.04.22
904;The All-American Rejects;1362771772;0;86;0;4;8;61;09.04.22
905;Evaluna Montaner;1362260325;122724529;46;0;4;6;24;31.03.22
906;Pabllo Vittar;1361368705;292571276;121;0;2;33;69;11.03.22
907;Alvaro Soler;1360944048;30727530;91;0;2;16;61;01.01.22
908;Supertramp;1360636172;34.03;119;0;4;18;84;07.04.22
909;Salmo;1359189476;566995386;149;0;1;30;93;02.02.22
910;Willie Nelson;1357834751;211167459;1.494;0;3;21;128;02.09.21
911;Bunbury;1356230450;173182634;412;0;1;23;187;23.03.22
912;Juan Luis Guerra 4.40;1355215104;686514166;197;0;1;32;111;07.01.22
913;Gavin James;1353919817;52147623;105;0;3;26;80;19.02.21
914;Beck;1350207114;87204764;292;0;1;27;140;01.04.22
915;Duke Dumont;1349058745;24095278;121;0;2;15;51;07.04.22
916;Counting Crows;1348728127;4264748;192;0;3;12;71;02.03.22
917;Emeli Sandé;1347050273;646851837;155;0;4;18;81;25.02.22
918;Icona Pop;1344938238;196870148;119;0;3;18;62;27.03.22
919;Burna Boy;1342167403;1378862686;157;0;3;35;86;09.04.22
920;MC Kevin o Chris;1342119180;323281970;183;0;4;27;97;11.03.22
921;Foreigner;1337514934;311706;294;0;4;12;58;03.04.22
922;Pixies;1336570435;172123;842;0;3;16;97;09.03.22
923;Simone & Simaria;1336133153;222160465;117;0;4;21;79;10.04.22
924;Gloria Trevi;1335906748;154025119;273;0;1;29;125;10.04.22
925;The Temptations;1334060024;65509395;716;0;3;12;55;16.03.22
926;Talking Heads;1333809154;0;184;0;3;18;104;14.03.22
927;Gotye;1333444133;9383253;46;1;1;9;24;28.03.22
928;The Head And The Heart;1332727170;0;77;0;3;21;66;18.12.21
929;Cristian Castro;1330843167;154905356;235;0;2;24;108;08.04.22
930;Jeezy;1327116650;1246803557;599;0;1;26;179;29.08.21
931;Hombres G;1326434587;60413806;275;0;3;16;113;26.03.22
932;Capo Plaza;1324581130;641932876;67;0;1;37;60;18.12.21
933;Marracash;1324081204;472296792;166;0;0;41;115;07.04.22
934;ZHU;1323872029;48629702;110;0;2;31;82;27.12.21
935;Ruel;1321436126;30494307;44;0;3;21;34;29.03.22
936;Jacquees;1320891353;270700370;118;0;2;20;98;20.02.22
937;Salaam Remi;1319591086;332136238;180;1;1;2;12;21.02.22
938;Gustavo Mioto;1317266450;68520551;89;0;4;26;65;04.12.21
939;SCH;1316421287;601521378;111;0;0;43;111;09.04.22
940;Lil Xan;1315933907;15365065;76;0;3;17;57;23.11.21
941;Diego & Victor Hugo;1312088436;14647082;119;0;5;19;79;24.01.22
942;Thiaguinho;1311765041;166121439;248;0;0;43;179;04.12.21
943;Alanis Morissette;1311751985;250483;297;0;3;18;103;10.04.22
944;Trueno;1309622974;77094057;43;0;5;21;32;01.04.22
945;Café Tacvba;1307673880;137656418;178;0;2;22;132;04.03.22
946;Canserbero;1304952895;14546833;88;0;3;33;85;01.04.22
947;Zendaya;1303626161;707868872;42;0;3;9;30;17.03.22
948;Dustin Lynch;1301729540;9586080;82;0;4;15;64;09.03.22
949;Megadeth;1300326330;0;421;0;1;20;183;20.03.22
950;Beach House;1297919931;0;106;0;1;25;95;19.03.22
951;Frenna;1296836025;333520099;146;0;0;40;110;08.03.22
952;Sam Cooke;1294399239;412275;360;0;3;12;75;01.04.22
953;MF DOOM;1294381064;91061554;423;0;0;27;164;24.03.22
